source_key	target_key	equal
model.12.bn.bias	model.12.bn.bias	True
model.12.bn.running_mean	model.12.bn.running_mean	True
model.12.bn.running_var	model.12.bn.running_var	True
model.12.bn.num_batches_tracked	model.12.bn.num_batches_tracked	True
model.14.cv1.conv.weight	model.14.cv1.conv.weight	True
model.14.cv1.bn.weight	model.14.cv1.bn.weight	True
model.14.cv1.bn.bias	model.14.cv1.bn.bias	True
model.14.cv1.bn.running_mean	model.14.cv1.bn.running_mean	True
model.14.cv1.bn.running_var	model.14.cv1.bn.running_var	True
model.14.cv1.bn.num_batches_tracked	model.14.cv1.bn.num_batches_tracked	True
model.14.cv2.conv.weight	model.14.cv2.conv.weight	True
model.14.cv2.bn.weight	model.14.cv2.bn.weight	True
model.14.cv2.bn.bias	model.14.cv2.bn.bias	True
model.14.cv2.bn.running_mean	model.14.cv2.bn.running_mean	True
model.14.cv2.bn.running_var	model.14.cv2.bn.running_var	True
model.14.cv2.bn.num_batches_tracked	model.14.cv2.bn.num_batches_tracked	True
model.14.m.0.conv1.conv.weight	model.14.m.0.conv1.conv.weight	True
model.14.m.0.conv1.bn.weight	model.14.m.0.conv1.bn.weight	True
model.14.m.0.conv1.bn.bias	model.14.m.0.conv1.bn.bias	True
model.14.m.0.conv1.bn.running_mean	model.14.m.0.conv1.bn.running_mean	True
model.14.m.0.conv1.bn.running_var	model.14.m.0.conv1.bn.running_var	True
model.14.m.0.conv1.bn.num_batches_tracked	model.14.m.0.conv1.bn.num_batches_tracked	True
model.14.m.0.conv2.conv.weight	model.14.m.0.conv2.conv.weight	True
model.14.m.0.conv2.bn.weight	model.14.m.0.conv2.bn.weight	True
model.14.m.0.conv2.bn.bias	model.14.m.0.conv2.bn.bias	True
model.14.m.0.conv2.bn.running_mean	model.14.m.0.conv2.bn.running_mean	True
model.14.m.0.conv2.bn.running_var	model.14.m.0.conv2.bn.running_var	True
model.14.m.0.conv2.bn.num_batches_tracked	model.14.m.0.conv2.bn.num_batches_tracked	True
model.14.m.1.conv1.conv.weight	model.14.m.1.conv1.conv.weight	True
model.14.m.1.conv1.bn.weight	model.14.m.1.conv1.bn.weight	True
model.14.m.1.conv1.bn.bias	model.14.m.1.conv1.bn.bias	True
model.14.m.1.conv1.bn.running_mean	model.14.m.1.conv1.bn.running_mean	True
model.14.m.1.conv1.bn.running_var	model.14.m.1.conv1.bn.running_var	True
model.14.m.1.conv1.bn.num_batches_tracked	model.14.m.1.conv1.bn.num_batches_tracked	True
model.14.m.1.conv2.conv.weight	model.14.m.1.conv2.conv.weight	True
model.14.m.1.conv2.bn.weight	model.14.m.1.conv2.bn.weight	True
model.14.m.1.conv2.bn.bias	model.14.m.1.conv2.bn.bias	True
model.14.m.1.conv2.bn.running_mean	model.14.m.1.conv2.bn.running_mean	True
model.14.m.1.conv2.bn.running_var	model.14.m.1.conv2.bn.running_var	True
model.14.m.1.conv2.bn.num_batches_tracked	model.14.m.1.conv2.bn.num_batches_tracked	True
model.14.m.2.conv1.conv.weight	model.14.m.2.conv1.conv.weight	True
model.14.m.2.conv1.bn.weight	model.14.m.2.conv1.bn.weight	True
model.14.m.2.conv1.bn.bias	model.14.m.2.conv1.bn.bias	True
model.14.m.2.conv1.bn.running_mean	model.14.m.2.conv1.bn.running_mean	True
model.14.m.2.conv1.bn.running_var	model.14.m.2.conv1.bn.running_var	True
model.14.m.2.conv1.bn.num_batches_tracked	model.14.m.2.conv1.bn.num_batches_tracked	True
model.14.m.2.conv2.conv.weight	model.14.m.2.conv2.conv.weight	True
model.14.m.2.conv2.bn.weight	model.14.m.2.conv2.bn.weight	True
model.14.m.2.conv2.bn.bias	model.14.m.2.conv2.bn.bias	True
model.14.m.2.conv2.bn.running_mean	model.14.m.2.conv2.bn.running_mean	True
model.14.m.2.conv2.bn.running_var	model.14.m.2.conv2.bn.running_var	True
model.14.m.2.conv2.bn.num_batches_tracked	model.14.m.2.conv2.bn.num_batches_tracked	True
model.14.cv3.conv.weight	model.14.cv3.conv.weight	True
model.14.cv3.bn.weight	model.14.cv3.bn.weight	True
model.14.cv3.bn.bias	model.14.cv3.bn.bias	True
model.14.cv3.bn.running_mean	model.14.cv3.bn.running_mean	True
model.14.cv3.bn.running_var	model.14.cv3.bn.running_var	True
model.14.cv3.bn.num_batches_tracked	model.14.cv3.bn.num_batches_tracked	True
model.15.conv.weight	model.15.conv.weight	True
model.15.bn.weight	model.15.bn.weight	True
model.15.bn.bias	model.15.bn.bias	True
model.15.bn.running_mean	model.15.bn.running_mean	True
model.15.bn.running_var	model.15.bn.running_var	True
model.15.bn.num_batches_tracked	model.15.bn.num_batches_tracked	True
model.17.conv.weight	model.17.conv.weight	True
model.17.bn.weight	model.17.bn.weight	True
model.17.bn.bias	model.17.bn.bias	True
model.17.bn.running_mean	model.17.bn.running_mean	True
model.17.bn.running_var	model.17.bn.running_var	True
model.17.bn.num_batches_tracked	model.17.bn.num_batches_tracked	True
model.19.cv1.conv.weight	model.20.cv1.conv.weight	True
model.19.cv1.bn.weight	model.20.cv1.bn.weight	True
model.19.cv1.bn.bias	model.20.cv1.bn.bias	True
model.19.cv1.bn.running_mean	model.20.cv1.bn.running_mean	True
model.19.cv1.bn.running_var	model.20.cv1.bn.running_var	True
model.19.cv1.bn.num_batches_tracked	model.20.cv1.bn.num_batches_tracked	True
model.19.cv2.conv.weight	model.20.cv2.conv.weight	True
model.19.cv2.bn.weight	model.20.cv2.bn.weight	True
model.19.cv2.bn.bias	model.20.cv2.bn.bias	True
model.19.cv2.bn.running_mean	model.20.cv2.bn.running_mean	True
model.19.cv2.bn.running_var	model.20.cv2.bn.running_var	True
model.19.cv2.bn.num_batches_tracked	model.20.cv2.bn.num_batches_tracked	True
model.19.m.0.conv1.conv.weight	model.20.m.0.conv1.conv.weight	True
model.19.m.0.conv1.bn.weight	model.20.m.0.conv1.bn.weight	True
model.19.m.0.conv1.bn.bias	model.20.m.0.conv1.bn.bias	True
model.19.m.0.conv1.bn.running_mean	model.20.m.0.conv1.bn.running_mean	True
model.19.m.0.conv1.bn.running_var	model.20.m.0.conv1.bn.running_var	True
model.19.m.0.conv1.bn.num_batches_tracked	model.20.m.0.conv1.bn.num_batches_tracked	True
model.19.m.0.conv2.conv.weight	model.20.m.0.conv2.conv.weight	True
model.19.m.0.conv2.bn.weight	model.20.m.0.conv2.bn.weight	True
model.19.m.0.conv2.bn.bias	model.20.m.0.conv2.bn.bias	True
model.19.m.0.conv2.bn.running_mean	model.20.m.0.conv2.bn.running_mean	True
model.19.m.0.conv2.bn.running_var	model.20.m.0.conv2.bn.running_var	True
model.19.m.0.conv2.bn.num_batches_tracked	model.20.m.0.conv2.bn.num_batches_tracked	True
model.19.m.1.conv1.conv.weight	model.20.m.1.conv1.conv.weight	True
model.19.m.1.conv1.bn.weight	model.20.m.1.conv1.bn.weight	True
model.19.m.1.conv1.bn.bias	model.20.m.1.conv1.bn.bias	True
model.19.m.1.conv1.bn.running_mean	model.20.m.1.conv1.bn.running_mean	True
model.19.m.1.conv1.bn.running_var	model.20.m.1.conv1.bn.running_var	True
model.19.m.1.conv1.bn.num_batches_tracked	model.20.m.1.conv1.bn.num_batches_tracked	True
model.19.m.1.conv2.conv.weight	model.20.m.1.conv2.conv.weight	True
model.19.m.1.conv2.bn.weight	model.20.m.1.conv2.bn.weight	True
model.19.m.1.conv2.bn.bias	model.20.m.1.conv2.bn.bias	True
model.19.m.1.conv2.bn.running_mean	model.20.m.1.conv2.bn.running_mean	True
model.19.m.1.conv2.bn.running_var	model.20.m.1.conv2.bn.running_var	True
model.19.m.1.conv2.bn.num_batches_tracked	model.20.m.1.conv2.bn.num_batches_tracked	True
model.19.m.2.conv1.conv.weight	model.20.m.2.conv1.conv.weight	True
model.19.m.2.conv1.bn.weight	model.20.m.2.conv1.bn.weight	True
model.19.m.2.conv1.bn.bias	model.20.m.2.conv1.bn.bias	True
model.19.m.2.conv1.bn.running_mean	model.20.m.2.conv1.bn.running_mean	True
model.19.m.2.conv1.bn.running_var	model.20.m.2.conv1.bn.running_var	True
model.19.m.2.conv1.bn.num_batches_tracked	model.20.m.2.conv1.bn.num_batches_tracked	True
model.19.m.2.conv2.conv.weight	model.20.m.2.conv2.conv.weight	True
model.19.m.2.conv2.bn.weight	model.20.m.2.conv2.bn.weight	True
model.19.m.2.conv2.bn.bias	model.20.m.2.conv2.bn.bias	True
model.19.m.2.conv2.bn.running_mean	model.20.m.2.conv2.bn.running_mean	True
model.19.m.2.conv2.bn.running_var	model.20.m.2.conv2.bn.running_var	True
model.19.m.2.conv2.bn.num_batches_tracked	model.20.m.2.conv2.bn.num_batches_tracked	True
model.19.cv3.conv.weight	model.20.cv3.conv.weight	True
model.19.cv3.bn.weight	model.20.cv3.bn.weight	True
model.19.cv3.bn.bias	model.20.cv3.bn.bias	True
model.19.cv3.bn.running_mean	model.20.cv3.bn.running_mean	True
model.19.cv3.bn.running_var	model.20.cv3.bn.running_var	True
model.19.cv3.bn.num_batches_tracked	model.20.cv3.bn.num_batches_tracked	True
model.20.conv.weight	model.21.conv.weight	True
model.20.bn.weight	model.21.bn.weight	True
model.20.bn.bias	model.21.bn.bias	True
model.20.bn.running_mean	model.21.bn.running_mean	True
model.20.bn.running_var	model.21.bn.running_var	True
model.20.bn.num_batches_tracked	model.21.bn.num_batches_tracked	True
model.22.cv1.conv.weight	model.23.cv1.conv.weight	True
model.22.cv1.bn.weight	model.23.cv1.bn.weight	True
model.22.cv1.bn.bias	model.23.cv1.bn.bias	True
model.22.cv1.bn.running_mean	model.23.cv1.bn.running_mean	True
model.22.cv1.bn.running_var	model.23.cv1.bn.running_var	True
model.22.cv1.bn.num_batches_tracked	model.23.cv1.bn.num_batches_tracked	True
model.22.cv2.conv.weight	model.23.cv2.conv.weight	True
model.22.cv2.bn.weight	model.23.cv2.bn.weight	True
model.22.cv2.bn.bias	model.23.cv2.bn.bias	True
model.22.cv2.bn.running_mean	model.23.cv2.bn.running_mean	True
model.22.cv2.bn.running_var	model.23.cv2.bn.running_var	True
model.22.cv2.bn.num_batches_tracked	model.23.cv2.bn.num_batches_tracked	True
model.22.m.0.conv1.conv.weight	model.23.m.0.conv1.conv.weight	True
model.22.m.0.conv1.bn.weight	model.23.m.0.conv1.bn.weight	True
model.22.m.0.conv1.bn.bias	model.23.m.0.conv1.bn.bias	True
model.22.m.0.conv1.bn.running_mean	model.23.m.0.conv1.bn.running_mean	True
