epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
119,17852.3,0.46288,0.51961,0.19261,0.8197,0.7954,0.85195,0.47656,0.49714,0.50363,0.21653,0.00018345,0.00018345,0.00018345
120,17968.5,0.4601,0.5209,0.19022,0.82003,0.7965,0.8534,0.47748,0.49519,0.50429,0.21447,0.000179725,0.000179725,0.000179725
121,18080,0.45813,0.51294,0.18995,0.82449,0.79684,0.85662,0.48113,0.49408,0.5017,0.21422,0.000176018,0.000176018,0.000176018
122,18193.7,0.45185,0.5098,0.1875,0.82519,0.80293,0.85955,0.48431,0.49191,0.49976,0.21265,0.00017233,0.00017233,0.00017233
123,18311.5,0.45756,0.51088,0.19015,0.82152,0.80691,0.86041,0.48357,0.49306,0.49914,0.21368,0.000168662,0.000168662,0.000168662
124,18421.9,0.45976,0.51449,0.19166,0.82311,0.80506,0.86181,0.48533,0.49261,0.49815,0.21413,0.000165015,0.000165015,0.000165015
125,18535.7,0.45564,0.51374,0.18985,0.82623,0.80748,0.86268,0.48711,0.49197,0.49651,0.21312,0.000161389,0.000161389,0.000161389
126,18655.5,0.45291,0.51577,0.18889,0.82843,0.80724,0.86418,0.48889,0.49152,0.49527,0.21266,0.000157786,0.000157786,0.000157786
127,18771.9,0.45564,0.50957,0.18802,0.82731,0.8095,0.86551,0.48963,0.49171,0.49413,0.21222,0.000154206,0.000154206,0.000154206
128,18885.9,0.4506,0.50742,0.18551,0.83112,0.81103,0.86612,0.49129,0.49077,0.49299,0.21165,0.00015065,0.00015065,0.00015065
129,19003.1,0.45489,0.51014,0.1876,0.83466,0.80693,0.8667,0.49086,0.49211,0.49317,0.21177,0.00014712,0.00014712,0.00014712
130,19114.9,0.45086,0.50701,0.18607,0.83534,0.80798,0.86785,0.49214,0.49177,0.49179,0.21173,0.000143615,0.000143615,0.000143615
131,19228.1,0.45081,0.50988,0.18712,0.83575,0.81078,0.86866,0.49527,0.48935,0.48981,0.21151,0.000140137,0.000140137,0.000140137
132,19339.5,0.4531,0.50695,0.18933,0.83594,0.8109,0.86915,0.49647,0.48761,0.48995,0.20999,0.000136687,0.000136687,0.000136687
133,19450.9,0.45105,0.50158,0.18648,0.83353,0.81207,0.86981,0.49582,0.48854,0.49014,0.21044,0.000133266,0.000133266,0.000133266
134,19567.4,0.44747,0.50253,0.18544,0.83736,0.81332,0.87181,0.49708,0.48786,0.48936,0.20978,0.000129874,0.000129874,0.000129874
135,19677.9,0.44426,0.50175,0.18232,0.83853,0.81295,0.872,0.49791,0.48783,0.48849,0.21059,0.000126512,0.000126512,0.000126512
136,19793.6,0.44503,0.50236,0.18423,0.83754,0.81441,0.87169,0.49805,0.48824,0.48777,0.21041,0.000123182,0.000123182,0.000123182
